Member Name,Username,No. Of Portfolios,ID Verification,Portfolio Verification,Location,Size (KB),Subscription
Mitchell Randall,sheila47,2,Verified,Not verified,"North Isaac, Pennsylvania, Bolivia",4686.34,Advanced
Ian Smith,jgreen,1,Not verified,Verified,"South Judith, Alabama, Gibraltar",5173.05,Premium
Anthony Henderson,faulknerjames,3,Verified,Verified,"Lake Joeview, Maine, Antarctica (the territory South of 60 deg S)",8541.88,Premium
Daniel Gates,sarah46,5,Not verified,Not verified,"Christinemouth, Idaho, Solomon Islands",7988.67,Premium
Michelle Wood,williamleonard,2,Verified,Verified,"Kennethville, Kentucky, Algeria",639.8,Advanced
Jason Sellers,charlesmack,1,Not verified,Verified,"New Toddbury, Nevada, Svalbard & Jan Mayen Islands",5161.86,Standard
Ian White,kinglori,4,Not verified,Verified,"East Robert, Alabama, Hong Kong",7596.84,Advanced
Laura Smith,riddlejames,2,Verified,Verified,"Lake Daisy, Alabama, Vanuatu",4291.24,Basic
Kerri Elliott,laurenlee,3,Not verified,Not verified,"Fordmouth, Washington, Angola",6407.2,Standard
Dustin Welch,qbishop,5,Not verified,Not verified,"South Rachaelberg, North Carolina, Andorra",8450.25,Advanced
Joshua Smith,danielle42,3,Verified,Verified,"Port Tracy, Minnesota, Romania",4754.42,Standard
Stephanie Fleming,davidstewart,4,Not verified,Verified,"South Johnshire, West Virginia, Botswana",5640.83,Advanced
Sarah Rubio,dbrooks,4,Verified,Not verified,"Timothyburgh, Mississippi, Cambodia",2822.51,Premium
Tara Harrell,michael57,3,Not verified,Not verified,"Lake Shannon, Massachusetts, Mozambique",9900.73,Basic
Heather Vaughn,wilsonmelissa,1,Verified,Verified,"Ryanside, North Dakota, Cook Islands",5143.72,Premium
Joshua Gilbert,ufranklin,1,Verified,Not verified,"Port Kimberlybury, Oklahoma, Mauritius",6913.4,Basic
Emily Burton,maurice00,3,Not verified,Verified,"New Jessicafurt, Wisconsin, Cape Verde",6720.99,Basic
Sean Fowler,danapruitt,4,Verified,Verified,"Millermouth, Iowa, Congo",4682.63,Standard
Jason Padilla,benjaminanderson,0,Not verified,Verified,"West Bradley, Utah, Nauru",8346.5,Basic
Clayton Ponce,shannonwood,4,Verified,Not verified,"East Courtneymouth, Louisiana, Montenegro",2283.89,Basic
Virginia Gibson,martinvictor,5,Verified,Not verified,"North Dustin, Utah, Mexico",7282.91,Basic
Richard Johnson,ocarter,4,Verified,Not verified,"Lisachester, Nevada, Central African Republic",2468.84,Premium
Steven Murray,jill95,1,Verified,Verified,"West Nicholas, North Dakota, Ethiopia",2171.65,Advanced
William Larson,mezadeborah,5,Verified,Not verified,"Morganbury, Kentucky, Korea",2661.37,Basic
Mary Simon,ssmith,0,Verified,Not verified,"Brittanyfort, Oklahoma, United Arab Emirates",3608.08,Basic
Amy Mccullough,russellkara,2,Not verified,Verified,"Kellyside, Idaho, Western Sahara",9009.27,Advanced
Derek Lawrence,owenjesus,0,Not verified,Not verified,"New Jason, North Carolina, Gabon",8422.75,Standard
Benjamin Baldwin,schmidtchristine,3,Verified,Verified,"Port Nicole, Virginia, Uganda",1038.98,Basic
Jason Rivera,stephen99,5,Verified,Not verified,"Gibbsfort, South Dakota, Saudi Arabia",5018.09,Basic
Matthew Wells,parkedward,3,Not verified,Not verified,"New Scott, Delaware, Singapore",1604.22,Premium
Brian Moore,fishermichael,3,Verified,Not verified,"New Shirleyville, Mississippi, Fiji",4828.86,Premium
Connie Carey,tom36,0,Verified,Not verified,"Garciafort, New Jersey, Saint Kitts and Nevis",6369.88,Standard
Darrell Bruce,whitegeorge,5,Verified,Not verified,"Port Susanchester, Delaware, Gabon",7661.23,Standard
Michael Jackson,sara11,5,Verified,Verified,"South Melissa, Michigan, Denmark",2475.4,Standard
David White,marisacampbell,5,Verified,Verified,"Lindaburgh, Delaware, Saint Martin",2076.88,Basic
Frances Marsh,millerkatie,0,Not verified,Verified,"North Tonyafort, Wyoming, Brazil",3750.55,Basic
Michael Clark,erodriguez,2,Not verified,Verified,"Ericfort, South Carolina, Albania",7791.47,Standard
Angela Mills,pamela88,3,Not verified,Verified,"West Margaret, North Carolina, Ethiopia",7050.9,Standard
Kim Petersen,rroberts,3,Verified,Verified,"Jasonbury, California, French Guiana",2466.58,Basic
Douglas Lloyd,palmerrichard,2,Verified,Not verified,"Walterville, Colorado, Northern Mariana Islands",5361.57,Premium
Michael Taylor,harveykathleen,5,Verified,Not verified,"Maryville, Texas, Guernsey",4074.94,Advanced
Joseph Morris,andersonjessica,5,Verified,Not verified,"Foleyton, Oklahoma, Latvia",1788.34,Standard
Lindsay Perez,perkinsrebecca,5,Not verified,Verified,"Rodrigueztown, West Virginia, Cyprus",8890.38,Basic
Micheal Garrett Jr.,shelleynoble,3,Verified,Not verified,"Port Nathanshire, Delaware, Austria",4868.91,Standard
Matthew Cook,denise01,4,Verified,Not verified,"Hoffmanmouth, Washington, Switzerland",6298.18,Basic
Maxwell Dunlap,nmanning,2,Not verified,Not verified,"Cainland, Mississippi, Azerbaijan",8527.91,Advanced
Michael Smith,florestimothy,5,Not verified,Not verified,"Millsshire, Georgia, Croatia",5206.2,Standard
Dr. Gabriel Donaldson,wendy02,1,Verified,Verified,"South Lisaburgh, Alabama, Monaco",3821.73,Standard
Eric Murphy,kimberly30,1,Verified,Verified,"Port Cheryl, Washington, Svalbard & Jan Mayen Islands",9067.57,Basic
Melissa Daniels,jperez,0,Verified,Not verified,"Carpenterfort, South Carolina, Morocco",3375.11,Basic
Dorothy Montgomery,lisaroberson,1,Not verified,Verified,"Stephanieburgh, Montana, Finland",1419.37,Standard
Anthony West,riveramelissa,1,Verified,Not verified,"Velazquezberg, Florida, Venezuela",6211.23,Standard
Rachel Robinson,bwood,2,Not verified,Verified,"Lake Mirandamouth, West Virginia, Brazil",7897.23,Basic
Dylan Gonzalez,jasonwells,5,Verified,Verified,"New Andreachester, New Hampshire, Saudi Arabia",1800.55,Basic
Mrs. Rebecca Mays MD,jcuevas,1,Verified,Not verified,"North Bruce, Nevada, Lithuania",1155.44,Advanced
Charles Baker,cookrebecca,1,Verified,Not verified,"West Amberfurt, Illinois, Bouvet Island (Bouvetoya)",894.28,Advanced
David Hartman,blee,1,Verified,Verified,"Marshallshire, New Hampshire, Kyrgyz Republic",2570.39,Premium
Stephanie Edwards,martinsteven,4,Verified,Not verified,"Colemanton, Idaho, Senegal",5577.56,Basic
Jared Graham,bleonard,5,Not verified,Not verified,"Reedbury, South Carolina, Cayman Islands",1671.37,Standard
Robert Lee,dawn71,1,Not verified,Not verified,"Harrisbury, New Hampshire, Nigeria",9628.36,Standard
Judy Cunningham DVM,fieldsteresa,1,Not verified,Verified,"West Lance, Washington, French Southern Territories",7808.09,Premium
Christina Rivers,charlotte80,4,Verified,Verified,"Dannyside, Montana, Saint Helena",6888.9,Basic
Dana Freeman,alexandra97,0,Verified,Verified,"Bryceburgh, Virginia, Greece",9328.65,Standard
Robert Gray,julieberry,2,Verified,Not verified,"East Davidview, Alaska, Tokelau",1801.77,Basic
Erica Galvan,twhitaker,1,Verified,Not verified,"Josephshire, Michigan, Philippines",2942.18,Advanced
Michael Hoover,dramsey,1,Not verified,Not verified,"North Darlene, Pennsylvania, Kyrgyz Republic",8212.54,Basic
Colleen Hopkins,timothy51,5,Verified,Verified,"West Joshuamouth, Hawaii, Uganda",4093.07,Advanced
Karen Mcdonald,granttony,4,Verified,Not verified,"Vanessaville, Oregon, Nicaragua",3790.19,Premium
Robin Jones,csmith,0,Verified,Not verified,"North Richard, Rhode Island, Chad",9364.81,Basic
Joseph Jones,zthompson,5,Not verified,Verified,"Hayesburgh, New Jersey, Jersey",7818.35,Advanced
John Hampton,pmartin,0,Verified,Not verified,"Seanberg, Utah, Lebanon",7639.7,Advanced
Zachary Carter,inichols,1,Verified,Not verified,"West Natasha, Alabama, Ecuador",6824.8,Standard
Fred Chang,ocameron,4,Verified,Verified,"Sarahfort, Vermont, Guyana",3176.01,Basic
Adam Clarke,ehoffman,5,Verified,Not verified,"Rosariostad, Nevada, Kiribati",4124.3,Standard
Penny Lopez,nancy19,4,Verified,Verified,"Jessebury, Oregon, Monaco",4970.49,Standard
Douglas Gregory,brownkenneth,0,Verified,Verified,"East Samuel, Iowa, Trinidad and Tobago",4556.99,Basic
Mariah Chapman MD,christophersharp,3,Not verified,Not verified,"Jamesmouth, Missouri, Iran",2064.95,Standard
Jason Valentine III,ebarnes,2,Not verified,Not verified,"North Robertbury, New Mexico, Mozambique",9158.92,Premium
April Taylor,william21,2,Verified,Not verified,"New Karen, Maine, Panama",6447.69,Premium
Rachel Riley,harveymelanie,3,Not verified,Verified,"Kevinmouth, Kentucky, Malaysia",7857.04,Advanced
Mary Owens,vincent04,4,Verified,Not verified,"Jensenview, Illinois, Isle of Man",7332.03,Standard
Andrea Jackson,barnesjohnathan,3,Not verified,Not verified,"Martinezburgh, Minnesota, Ecuador",5002.44,Basic
Paul Glenn,alisonthomas,0,Verified,Verified,"Jenniferland, Nebraska, Korea",6270.24,Standard
Kristin Mcpherson,nburton,2,Verified,Verified,"Port Connie, New Mexico, Kuwait",1092.54,Advanced
Destiny Hansen,tammy77,0,Verified,Verified,"South Jenniferville, Michigan, Czech Republic",6018.59,Standard
Stephanie Elliott,pholland,2,Verified,Verified,"Lake Whitneyfurt, Rhode Island, Italy",1159.63,Standard
Cindy Shannon,kevinward,2,Not verified,Not verified,"Jacobbury, Oklahoma, Thailand",5342.2,Basic
Alisha Edwards,cummingslarry,3,Verified,Verified,"Contrerasburgh, North Carolina, Aruba",2425.3,Advanced
Emily Hamilton,wendyterry,0,Verified,Not verified,"Lake Timothyshire, North Dakota, Malaysia",8176.56,Advanced
Kelly Johnston,sandrareyes,1,Not verified,Not verified,"Reyeston, Nevada, Estonia",9158.97,Advanced
Kristen Ward,johnsonpeter,3,Not verified,Verified,"Port Pamelaport, Oklahoma, Finland",6948.22,Premium
Andrew Benjamin,bateskristen,3,Verified,Verified,"Rodriguezmouth, Illinois, Bangladesh",1555.16,Advanced
Danny Patterson,daviskatherine,2,Verified,Verified,"Charlesburgh, Louisiana, Gambia",687,Premium
Kimberly Jenkins,alyssa14,5,Not verified,Not verified,"Munozport, Nebraska, French Southern Territories",8096,Basic
Patricia Keller,brian92,0,Not verified,Not verified,"North Kelly, Washington, Mexico",1129.38,Premium
Michael Clarke,amberpeters,4,Verified,Not verified,"Cunninghamshire, Minnesota, Christmas Island",6758.69,Basic
Cody Burch,angelacummings,0,Not verified,Not verified,"Lake Kimberly, North Dakota, Belarus",9680.72,Standard
Kimberly Morrison,nguyenjody,5,Verified,Verified,"East Patrickville, Georgia, Malawi",6038.21,Advanced
David Rodriguez,charlescombs,0,Not verified,Verified,"East Charles, Nevada, Niue",6179.63,Premium
David Grimes,harperdavid,1,Not verified,Not verified,"South Kelly, Delaware, Papua New Guinea",4476.61,Basic
William Abbott,oporter,5,Not verified,Not verified,"New Melissafurt, Wisconsin, Netherlands",4341.13,Advanced
Michael Harper,vmoore,5,Verified,Verified,"Port Patriciastad, Florida, Macao",2698.44,Standard
Cathy Hansen,montgomerycarolyn,5,Verified,Verified,"Allenberg, Indiana, Solomon Islands",3830.39,Basic
Madison Shields,robinchang,1,Not verified,Verified,"Chloeview, Texas, Canada",9891.35,Advanced
Arthur Grimes,powelldaniel,4,Verified,Verified,"Phillipsbury, Ohio, Canada",349.84,Advanced
Anthony Stephenson,igriffin,2,Verified,Verified,"Jacobton, Texas, Nigeria",7495.82,Standard
Kent Rose,earl84,0,Verified,Verified,"West Kyle, North Carolina, Mozambique",1445.61,Basic
Chelsea Porter,peter57,1,Verified,Not verified,"East Donald, Maine, Uruguay",3545.42,Premium
Elizabeth Sutton,jeffrey27,1,Verified,Verified,"Rodriguezport, Florida, Heard Island and McDonald Islands",4434.6,Advanced
Kerry Turner,victoria85,1,Not verified,Verified,"Harrismouth, Maine, Benin",8702.91,Basic
Joshua Leach,brianmartin,2,Not verified,Verified,"South Frank, South Carolina, Netherlands Antilles",5154.94,Standard
Angela Walls,jessicahurst,0,Verified,Verified,"Lake Ashleyfurt, Maryland, China",1490.68,Standard
Ronnie Barrett,davidhughes,3,Not verified,Verified,"Nicholashaven, Montana, Andorra",4798.35,Standard
Ashley Miller,darrenmelendez,1,Verified,Not verified,"Rachelmouth, Iowa, Iraq",5992.85,Basic
David Molina,esnyder,1,Not verified,Not verified,"New Justin, Washington, Senegal",4106.3,Premium
Chelsea Ross,taylorrebecca,0,Verified,Verified,"Lake Stacyfurt, Alabama, Egypt",1731.1,Basic
James Hunt,lisarobinson,0,Verified,Verified,"Stricklandborough, Minnesota, Finland",3041.96,Advanced
Michelle Richardson,victoriacampbell,3,Not verified,Verified,"Dorothyfurt, Delaware, Saint Kitts and Nevis",3328.71,Premium
Erica Diaz,jose80,3,Not verified,Verified,"Gabrieltown, Hawaii, Finland",987.2,Basic
Richard Logan,trevorgreer,2,Verified,Not verified,"Reyesbury, Pennsylvania, Fiji",9223.94,Basic
Laura Morrison,jonathan78,3,Verified,Verified,"Port Matthewhaven, Rhode Island, Algeria",6334.78,Basic
Donald Clarke,brittany18,5,Not verified,Verified,"Tannerland, Pennsylvania, Burkina Faso",301.36,Premium
Kirsten Nguyen,keith03,5,Verified,Verified,"Lake Richardmouth, New Hampshire, Madagascar",9020.64,Standard
Nancy Curry,carrollpatricia,4,Verified,Verified,"North Jacob, Kentucky, Austria",2710.02,Standard
Anthony Cervantes,joshua93,0,Not verified,Verified,"Hodgesfurt, Vermont, Cambodia",6677.28,Advanced
Cody Horn,elizabethbrown,1,Verified,Verified,"New Jennifer, Kansas, Wallis and Futuna",703.92,Premium
Patrick Whitaker,kathy59,2,Verified,Verified,"New Karen, Kentucky, Mongolia",2714.43,Basic
Zachary Holland,ricardorichmond,5,Verified,Not verified,"Brittanyburgh, Illinois, Singapore",9939.76,Premium
Daniel Grant,andersonamanda,2,Not verified,Not verified,"North Makayla, Kansas, Brunei Darussalam",8694.72,Standard
Elizabeth Lee,lawrence34,4,Not verified,Verified,"East Samantha, New York, Cambodia",3466.28,Advanced
Anthony Donovan,smithpatricia,4,Not verified,Verified,"West Andrewtown, Pennsylvania, Senegal",7202.27,Advanced
Clayton Davidson,crystal33,2,Verified,Not verified,"Karenbury, Idaho, Tokelau",3124.75,Premium
Shelby Winters,katelyn85,1,Not verified,Verified,"East Jamesburgh, Maine, Slovakia (Slovak Republic)",9496.01,Advanced
Melissa Cardenas,joseph71,3,Verified,Verified,"Port Paulton, Idaho, Hong Kong",9483.08,Advanced
Ryan Curry,brucecurtis,4,Not verified,Verified,"Jonestown, Alaska, Azerbaijan",5854.49,Basic
Mathew Walter,ewilson,3,Not verified,Verified,"Nicholashaven, Hawaii, Vanuatu",7517.55,Advanced
David Garcia,nicholas72,5,Not verified,Not verified,"Harrisshire, California, Zimbabwe",6045.47,Premium
Vicki Harrington,benjamin54,0,Verified,Not verified,"West Nancy, Delaware, United States of America",7902.2,Premium
Joseph Jenkins,bushpeter,2,Verified,Verified,"West Tiffany, Hawaii, United Arab Emirates",265.83,Advanced
Derrick Montgomery,irivera,1,Verified,Verified,"North Nicholasbury, North Dakota, Sri Lanka",5571.87,Basic
Michelle Blanchard,amandawhitaker,3,Verified,Verified,"Aguilarstad, Wisconsin, Tokelau",2827.58,Basic
Dr. Meagan Phillips,smithjessica,1,Verified,Not verified,"Christinaton, Rhode Island, Tuvalu",8979.31,Premium
Sarah Bennett,justinmueller,5,Not verified,Not verified,"East Nicholas, Colorado, Suriname",9708.53,Premium
Jose Garcia,phillipstina,2,Not verified,Verified,"Kellystad, Oklahoma, Saint Pierre and Miquelon",5155.19,Standard
Sharon Harris,deleontara,4,Not verified,Verified,"Patriciaville, Louisiana, Maldives",3419.83,Premium
Megan Torres DVM,george50,5,Not verified,Verified,"New Christopher, Florida, Belgium",8042.29,Basic
Jillian Petersen,brandon82,1,Verified,Not verified,"Port Johnathan, Maine, Montenegro",8408.81,Standard
Brian Mcgee MD,mlogan,2,Verified,Verified,"Sandersburgh, Hawaii, Saint Lucia",3663.72,Basic
Robert Brooks,yangangela,0,Not verified,Not verified,"Lake Joshua, Maryland, France",833.52,Advanced
Johnny Smith,joneskristin,5,Not verified,Verified,"Lindsayland, Kentucky, Romania",7892.67,Standard
Robert Medina,katherineprice,0,Verified,Not verified,"Keithbury, Ohio, Greenland",2742.19,Basic
Misty Johnson,mromero,2,Not verified,Verified,"Brianfort, Florida, Ethiopia",5681.32,Premium
Misty Bolton,jburton,1,Not verified,Verified,"Lake Robert, California, Zambia",8609.21,Basic
Pamela Lewis,greenjohn,3,Verified,Not verified,"South Anthony, Louisiana, Slovenia",824.54,Premium
Debra Todd,andreasantos,5,Verified,Not verified,"Ellisfurt, Hawaii, Hong Kong",8451.39,Premium
Bradley Gonzalez,kennetherickson,4,Verified,Not verified,"New Matthew, South Dakota, Comoros",7653.55,Premium
Donna Nelson,rachelwilson,0,Not verified,Not verified,"New Philip, Arizona, Monaco",9355.77,Standard
David Carter,josephmichael,4,Verified,Not verified,"New Penny, Connecticut, Maldives",1220.28,Advanced
Jennifer Weaver,adamsdustin,2,Not verified,Verified,"New Jeffrey, Arkansas, Swaziland",9174.92,Standard
Cassidy Sims,watsonryan,1,Verified,Verified,"North Marcus, Wisconsin, Afghanistan",7476.23,Standard
Luke Stewart,lopezmichael,1,Verified,Not verified,"Whiteport, Michigan, Swaziland",7144.53,Basic
Alyssa Lopez,sanchezstephanie,0,Verified,Verified,"Khanmouth, New Hampshire, Bouvet Island (Bouvetoya)",8521.6,Premium
Ryan Miller,brooke01,0,Not verified,Not verified,"South Kennethland, Utah, Guinea",629.82,Standard
Jessica Anderson,egarcia,0,Not verified,Verified,"Parkerfort, Tennessee, Portugal",1881.44,Basic
Tracy Thompson,englishsean,2,Not verified,Verified,"Kaitlynville, Iowa, Portugal",1569.55,Advanced
Evan Lutz,rrichardson,2,Verified,Verified,"Elizabethmouth, Kansas, Panama",6765,Standard
Lisa Hanson,emorton,2,Not verified,Verified,"New Jenniferton, Kansas, Hungary",848.53,Advanced
Alicia Stanley,christianvillanueva,4,Verified,Verified,"West Lindseyhaven, Alabama, Tokelau",5709.25,Premium
Dennis Cook,susan53,2,Not verified,Not verified,"West Ashley, Kansas, South Georgia and the South Sandwich Islands",9300.68,Premium
John Scott,jasmine34,0,Not verified,Verified,"North Robinfort, Missouri, Hong Kong",2229.47,Advanced
Jonathan Calhoun,poliver,3,Verified,Not verified,"New Kaylaview, South Dakota, Bosnia and Herzegovina",4357.7,Advanced
Mario Vega,johnfreeman,5,Verified,Not verified,"Edwardsland, Utah, Northern Mariana Islands",194.66,Advanced
Melissa Zamora,rangelnichole,1,Not verified,Not verified,"South Kaitlyn, Maryland, Belgium",7359.99,Premium
Christine Harrison,taylorhoffman,2,Verified,Verified,"Port Jennifer, New York, Barbados",3383.88,Advanced
Yolanda Hernandez,cpace,2,Verified,Not verified,"North Robinhaven, Maine, Gibraltar",2359.98,Premium
Mark Williams,wisekelly,1,Verified,Verified,"South Marialand, Colorado, Guinea",4358.47,Standard
Donna Moore,charlenedonovan,2,Verified,Not verified,"Port Kimville, Alabama, Mauritania",6570.26,Premium
Shelby Richardson,munozjodi,2,Not verified,Not verified,"Alvaradofurt, South Dakota, Montenegro",9700.24,Basic
Jennifer Hamilton,glennantonio,1,Not verified,Verified,"North Shirley, New Hampshire, Botswana",1355.73,Standard
Daniel Stokes,jeffrey33,5,Verified,Not verified,"Zoestad, West Virginia, Suriname",7845.01,Premium
